user_id,last_updated,vector_kv
2,2025-10-10 03:49:25.779657,"['portrait:0.85', 'colorful:0.13', 'realism:0.12', 'sculpture:0.61', 'classical:0.27', 'landscape:0.25']"
4,2025-08-08 11:31:16.244409,"['realism:0.42', 'watercolor:0.94', 'contemporary:0.8', 'oil_painting:0.26', 'colorful:0.59']"
7,2025-08-28 15:00:52.312477,"['large_canvas:0.72', 'colorful:0.64', 'digital_art:0.9', 'abstract_art:0.37', 'contemporary:0.11', 'portrait:0.66', 'realism:0.92']"
8,2025-09-20 17:04:22.454048,"['minimalist:0.87', 'sculpture:0.11', 'abstract_art:0.35', 'landscape:0.14', 'classical:0.62', 'watercolor:0.61', 'portrait:0.43']"
10,2025-10-12 03:44:31.258700,"['abstract_art:0.47', 'small_art:0.23', 'classical:0.17']"
11,2025-07-18 22:23:10.121217,"['portrait:0.54', 'watercolor:0.65', 'digital_art:0.44', 'contemporary:0.45']"
13,2025-09-28 16:45:34.757878,"['large_canvas:0.7', 'small_art:0.94', 'minimalist:0.41']"
16,2025-08-17 11:21:23.618811,"['contemporary:0.45', 'watercolor:0.74', 'colorful:0.12', 'sculpture:0.51', 'digital_art:0.6', 'landscape:0.28', 'realism:0.91']"
19,2025-09-12 15:56:27.432438,"['watercolor:0.44', 'oil_painting:0.51', 'contemporary:0.13', 'small_art:0.46', 'classical:0.77', 'sculpture:0.38', 'minimalist:0.62', 'landscape:0.67']"
20,2025-08-03 06:33:05.523914,"['small_art:0.88', 'landscape:0.32', 'portrait:0.61', 'abstract_art:0.56', 'classical:0.88', 'minimalist:0.62', 'colorful:0.56', 'sculpture:0.84']"
22,2025-07-28 20:02:36.326411,"['abstract_art:0.57', 'small_art:0.2', 'large_canvas:0.86', 'contemporary:0.14', 'mixed_media:0.83', 'digital_art:0.39']"
23,2025-08-28 11:34:50.385820,"['classical:0.31', 'sculpture:0.36', 'watercolor:0.59']"
26,2025-07-20 18:03:04.608695,"['abstract_art:0.21', 'classical:0.77', 'small_art:0.65', 'realism:1', 'oil_painting:0.29', 'large_canvas:0.12', 'mixed_media:0.54']"
28,2025-08-13 05:50:21.046177,"['colorful:0.26', 'watercolor:0.34', 'minimalist:0.19']"
31,2025-09-11 21:06:19.636893,"['classical:0.56', 'portrait:0.29', 'mixed_media:0.25', 'sculpture:0.6']"
35,2025-07-24 00:22:06.528079,"['sculpture:0.16', 'watercolor:0.61', 'digital_art:0.91', 'colorful:0.97']"
37,2025-07-15 19:48:43.463039,"['digital_art:0.15', 'oil_painting:0.27', 'contemporary:0.23', 'realism:0.61', 'sculpture:0.22']"
38,2025-09-28 20:02:54.607993,"['watercolor:0.92', 'mixed_media:0.4', 'digital_art:0.26', 'small_art:0.78']"
40,2025-08-29 14:29:51.020153,"['realism:0.55', 'contemporary:0.18', 'sculpture:0.99', 'digital_art:0.55', 'mixed_media:0.43', 'colorful:0.89', 'small_art:0.79', 'abstract_art:0.27', 'landscape:0.82']"
41,2025-07-22 09:19:17.576187,"['oil_painting:0.37', 'abstract_art:0.46', 'classical:0.28', 'colorful:0.33', 'minimalist:0.36', 'sculpture:0.82', 'landscape:0.3']"
44,2025-10-06 02:37:32.495932,"['portrait:0.29', 'minimalist:0.65', 'classical:0.96', 'small_art:0.37', 'digital_art:0.39', 'mixed_media:0.98', 'colorful:0.88']"
46,2025-07-11 18:31:35.930522,"['digital_art:0.27', 'classical:0.87', 'mixed_media:0.45']"
47,2025-10-04 19:57:42.284805,"['minimalist:0.73', 'sculpture:0.9', 'portrait:0.29']"
49,2025-08-01 13:36:55.601455,"['minimalist:0.26', 'large_canvas:0.36', 'landscape:0.7', 'digital_art:0.89', 'sculpture:0.79']"
50,2025-09-15 20:27:01.071710,"['large_canvas:0.13', 'realism:0.65', 'oil_painting:0.57', 'small_art:0.42', 'mixed_media:0.95', 'colorful:0.88']"
